15:28:46.782 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/gaoxin_app/api/v1/malfunction/check],methods=[POST]}" onto public com.sl.ylyy.common.utils.Result1 com.sl.ylyy.app_1.controller.MalfunctionController_app1.updateCheck(java.util.Map<java.lang.String, java.lang.Object>)
15:28:46.783 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/gaoxin_app/api/v1/malfunction/appoint],methods=[POST]}" onto public com.sl.ylyy.common.utils.Result1 com.sl.ylyy.app_1.controller.MalfunctionController_app1.updateAppoint(java.util.Map<java.lang.String, java.lang.Object>)
15:28:46.783 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/gaoxin_app/api/v1/malfunction/hangup],methods=[POST]}" onto public com.sl.ylyy.common.utils.Result1 com.sl.ylyy.app_1.controller.MalfunctionController_app1.addHangup(java.util.Map<java.lang.String, java.lang.Object>)
15:28:46.783 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/gaoxin_app/api/v1/malfunction/finish],methods=[POST]}" onto public com.sl.ylyy.common.utils.Result1 com.sl.ylyy.app_1.controller.MalfunctionController_app1.addFinish(java.util.Map<java.lang.String, java.lang.Object>)
15:28:46.785 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/gaoxin_app/api/v1/malfunction/add],methods=[POST]}" onto public com.sl.ylyy.common.utils.Result1 com.sl.ylyy.app_1.controller.MalfunctionController_app1.addMalfunction(java.util.Map<java.lang.String, java.lang.Object>)
15:28:46.786 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/gaoxin_app/api/v1/malfunction/material],methods=[POST]}" onto public com.sl.ylyy.common.utils.Result1 com.sl.ylyy.app_1.controller.MalfunctionController_app1.addMaterial(java.util.Map<java.lang.String, java.lang.Object>)
15:28:46.786 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/gaoxin_app/api/v1/malfunction/add_two],methods=[POST]}" onto public com.sl.ylyy.common.utils.Result1 com.sl.ylyy.app_1.controller.MalfunctionController_app1.addMalfunction2(java.util.Map<java.lang.String, java.lang.Object>)
15:28:46.787 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/gaoxin_app/api/v1/malfunction/add_to],methods=[POST]}" onto public com.sl.ylyy.common.utils.Result1 com.sl.ylyy.app_1.controller.MalfunctionController_app1.addToMalfunction(java.util.Map<java.lang.String, java.lang.Object>)
15:28:46.788 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/gaoxin_app/api/v1/malfunction/detail],methods=[POST]}" onto public com.sl.ylyy.common.utils.Result1 com.sl.ylyy.app_1.controller.MalfunctionController_app1.getMalfunctionById(java.util.Map<java.lang.String, java.lang.Object>)
15:28:46.788 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/gaoxin_app/api/v1/malfunction/log],methods=[POST]}" onto public com.sl.ylyy.common.utils.Result1 com.sl.ylyy.app_1.controller.MalfunctionController_app1.getMalfunctionLog(java.util.Map<java.lang.String, java.lang.Object>)
